,sample_name,legend
0,graph0.png,['apoturmeric']
0,graph1.png,['conventionalist']
0,graph2.png,['hybrida']
0,graph3.png,['seesaws']
0,graph4.png,"['h', 'q', 'bromoaurates']"
0,graph5.png,"['balat', 'woorali', 'amphi']"
0,graph6.png,"['O', 'p', 'V', 'enfroward']"
0,graph7.png,['pickaback']
0,graph8.png,"['X', 'E', 'unassiduousness', 'corvoid']"
0,graph9.png,"['D', 'U', 'manywise', 'executioner']"
0,graph10.png,['assignats']
0,graph11.png,"['gyrencephalous', 'steadable', 'christed', 'amaxomania']"
0,graph12.png,['fyke']
0,graph13.png,"['R', 'embracery', 'nuttiest']"
0,graph14.png,"['m', 'encouragements', 'noctipotent']"
0,graph15.png,"['syncarida', 'centrifugence']"
0,graph16.png,"['w', 'sightedness', 'scaly']"
0,graph17.png,"['cacomixls', 'aposthume']"
0,graph18.png,['somitic']
0,graph19.png,"['i', 'quality', 'nasty', 'disilane']"
0,graph20.png,"['n', 'phytophage']"
0,graph21.png,"['J', 'V', 'vials', 'caucused']"
0,graph22.png,"['W', 'z', 'j', 'autohypnotism']"
0,graph23.png,"['K', 'melote', 'repew', 'commercialize']"
0,graph24.png,"['psychanalysis', 'semiprofanity']"
0,graph25.png,['negligibility']
0,graph26.png,"['misericord', 'accable']"
0,graph27.png,"['contrabassoon', 'irreproachableness', 'gromwells', 'swayless']"
0,graph28.png,"['w', 'D', 'D', 'unrotating']"
0,graph29.png,"['U', 'connexion', 'pundits']"
0,graph30.png,"['wordman', 'polariscopic', 'worriable']"
0,graph31.png,['rumness']
0,graph32.png,['hyperotretous']
0,graph33.png,['sunburn']
0,graph34.png,"['H', 'unpestered', 'larikin', 'ungelatinous']"
0,graph35.png,"['n', 'proteinaceous', 'fucuses', 'loadedness']"
0,graph36.png,"['q', 'amalic']"
0,graph37.png,"['S', 'ratability']"
0,graph38.png,"['E', 'unpracticalness', 'connoissance']"
0,graph39.png,"['newsless', 'erie']"
0,graph40.png,"['h', 'B', 'decurrently']"
0,graph41.png,"['orellin', 'capsid']"
0,graph42.png,['apology']
0,graph43.png,['unjustifiableness']
0,graph44.png,"['j', 'punicine', 'tb']"
0,graph45.png,"['j', 'shits']"
0,graph46.png,"['intercolumn', 'proteanwise', 'camelia']"
0,graph47.png,"['v', 'overpuissant', 'yardful']"
0,graph48.png,['precollapsing']
0,graph49.png,"['regambled', 'preprocessor']"
0,graph50.png,"['phenotypically', 'rejecter']"
0,graph51.png,"['micacite', 'antisnob']"
0,graph52.png,"['g', 'w', 'E', 'trufflesque']"
0,graph53.png,['exogamy']
0,graph54.png,"['G', 'x', 'hoit']"
0,graph55.png,"['W', 'T', 'ethanethiol']"
0,graph56.png,"['I', 'w', 'coyos']"
0,graph57.png,"['munda', 'undegenerate']"
0,graph58.png,"['l', 'f', 'Z', 'molested']"
0,graph59.png,['scotopic']
0,graph60.png,"['peripatetical', 'floscule', 'confrontational']"
0,graph61.png,"['t', 'microfoliation']"
0,graph62.png,"['j', 'h', 'overjoyously']"
0,graph63.png,"['N', 's', 'spraddled', 'reprisal']"
0,graph64.png,"['C', 'observable']"
0,graph65.png,['brewises']
0,graph66.png,"['j', 'n', 'perioikoi']"
0,graph67.png,"['V', 'bahmanid']"
0,graph68.png,"['u', 'q', 'd', 'eucgia']"
0,graph69.png,"['tarsonemidae', 'chimley', 'homeroom', 'prejudging']"
0,graph70.png,"['premanufactured', 'paradidym', 'bursars']"
0,graph71.png,"['u', 'overtrump']"
0,graph72.png,['semigeometrical']
0,graph73.png,"['N', 'occulters']"
0,graph74.png,['psychophysic']
0,graph75.png,"['e', 'fulmination', 'shirtlessness', 'homoperiodic']"
0,graph76.png,"['a', 'routinely', 'loiterers', 'blite']"
0,graph77.png,"['e', 'G', 'coenacle', 'inapparent']"
0,graph78.png,['dustier']
0,graph79.png,"['U', 'r', 'cutlers']"
0,graph80.png,"['k', 'allotropes', 'questioned']"
0,graph81.png,"['N', 'H', 'nonmultiplicative']"
0,graph82.png,['bighearted']
0,graph83.png,"['bedlamite', 'wullie', 'grattoir']"
0,graph84.png,"['hocked', 'clou', 'counts', 'scraggy']"
0,graph85.png,"['nitrifies', 'marlines']"
0,graph86.png,"['Y', 'b', 'leucites', 'suppliantly']"
0,graph87.png,"['epicyclic', 'deportees', 'comoedia']"
0,graph88.png,"['noncalculably', 'morendo', 'chordotonal']"
0,graph89.png,"['S', 'grasset', 'guids']"
0,graph90.png,"['screwers', 'cichoriaceous', 'unadventured']"
0,graph91.png,"['P', 'gemses', 'mendication']"
0,graph92.png,['pima']
0,graph93.png,['octarchies']
0,graph94.png,"['g', 'importance', 'shammocking', 'perceptive']"
0,graph95.png,['overabstemiousness']
0,graph96.png,['vortical']
0,graph97.png,"['apprehensibility', 'hypochnus', 'unfailable']"
0,graph98.png,"['Q', 'uncast', 'aberrometer', 'disappreciation']"
0,graph99.png,['microdissection']
0,graph100.png,"['contemplated', 'contoid', 'precomprehensive', 'sphingoid']"
0,graph101.png,['sootlike']
0,graph102.png,['creations']
0,graph103.png,['unformal']
0,graph104.png,['evocators']
0,graph105.png,['volkerwanderung']
0,graph106.png,"['introversion', 'entreprenant']"
0,graph107.png,"['tenovaginitis', 'perfecto', 'essayistical']"
0,graph108.png,"['submolecular', 'tends']"
0,graph109.png,"['lycanthropies', 'hermitary', 'anguria', 'directorially']"
0,graph110.png,"['i', 'X', 'K', 'perpent']"
0,graph111.png,"['c', 'l', 'cavy', 'pledging']"
0,graph112.png,"['X', 'H', 'r', 'indiglucin']"
0,graph113.png,"['o', 'pigtailed']"
0,graph114.png,"['filamentar', 'collusion', 'lexicographist']"
0,graph115.png,['unvaryingness']
0,graph116.png,"['preenlarging', 'subservient', 'dialiness']"
0,graph117.png,"['restirring', 'piastre', 'stiltiest', 'acalephe']"
0,graph118.png,['nontitaniferous']
0,graph119.png,['whereer']
0,graph120.png,"['A', 'vivificated']"
0,graph121.png,"['tailspin', 'maintopmen', 'mourningly']"
0,graph122.png,"['scritoire', 'downwarp']"
0,graph123.png,"['Y', 'impaneled', 'izing', 'nonbasement']"
0,graph124.png,"['Q', 'J', 'permittivity', 'gnocchetti']"
0,graph125.png,"['rathnakumar', 'nonuniformity', 'premedian', 'richfield']"
0,graph126.png,['nonceremonially']
0,graph127.png,['sluff']
0,graph128.png,['pythonomorphic']
0,graph129.png,"['s', 'm', 'biosynthesize']"
0,graph130.png,"['P', 'h', 'felstone', 'sharkskins']"
0,graph131.png,['wares']
0,graph132.png,"['antisyndicalism', 'erinys', 'mollifyingly']"
0,graph133.png,"['libidibi', 'unholy', 'overhumanizing', 'isomerical']"
0,graph134.png,"['J', 'contrapuntalist', 'exonian']"
0,graph135.png,"['e', 'mentorship']"
0,graph136.png,['kier']
0,graph137.png,"['X', 'subteener', 'hysteretically']"
0,graph138.png,"['dispence', 'microporous']"
0,graph139.png,['flammable']
0,graph140.png,"['O', 'outfloat', 'unhonourably']"
0,graph141.png,['foreteeth']
0,graph142.png,"['U', 'suppressible']"
0,graph143.png,"['evenforth', 'del']"
0,graph144.png,['psychagogos']
0,graph145.png,"['I', 'nasality']"
0,graph146.png,['undelicious']
0,graph147.png,"['u', 'i', 'ogygian']"
0,graph148.png,"['p', 'reproposing', 'sodiohydric', 'solicitation']"
0,graph149.png,['preidea']
0,graph150.png,"['J', 'trigemini', 'oilstones', 'bursal']"
0,graph151.png,"['valses', 'thackoor']"
0,graph152.png,"['amphorette', 'nycteridae', 'copaiva', 'phonism']"
0,graph153.png,"['K', 'pedanalysis', 'proctoscope', 'nimblewit']"
0,graph154.png,"['Q', 'T', 'duteousness', 'toughhead']"
0,graph155.png,"['vaticanic', 'antrotympanic']"
0,graph156.png,['sigmoidectomy']
0,graph157.png,"['omicrons', 'uncrest', 'noctidial']"
0,graph158.png,"['U', 'spathyema', 'blumes']"
0,graph159.png,"['F', 'a', 'nonguilts', 'orthodromic']"
0,graph160.png,"['H', 'laureates', 'spaetzle']"
0,graph161.png,"['q', 'unlegible', 'asthmas']"
0,graph162.png,"['noninsurance', 'vipers', 'tsaritzas']"
