,sample_name,legend,xmin,ymin,width,height
0,graph0.png,"['A', 'swadeshi']",634,137,80,47
0,graph1.png,"['consummately', 'tamanu', 'isostatically']",607,137,107,47
0,graph2.png,"['assigners', 'intellectually']",104,232,98,47
0,graph3.png,"['I', 'shfsep', 'hypozeuxis', 'affatuate']",625,43,90,77
0,graph4.png,"['corriedale', 'sidesteps', 'unhilariousness']",104,130,111,62
0,graph5.png,['uncontrived'],621,262,93,17
0,graph6.png,"['incarmined', 'outroad']",625,145,89,32
0,graph7.png,"['coelacanthidae', 'declinature', 'giggles', 'kulan']",605,122,109,77
0,graph8.png,"['u', 'k', 'undeceived', 'planetaries']",623,130,91,62
0,graph9.png,"['prism', 'tried', 'aminoid', 'cullets']",640,130,74,62
0,graph10.png,"['homeoidal', 'bradyphagia']",618,43,96,32
0,graph11.png,"['limekiln', 'petiolule', 'beetroot']",637,137,77,47
0,graph12.png,['untroddenness'],104,152,108,17
0,graph13.png,['reactivator'],"[ 30.          28.7755102   27.55102041  26.32653061  25.10204082
  23.87755102  22.65306122  21.42857143  20.20408163  18.97959184
  17.75510204  16.53061224  15.30612245  14.08163265  12.85714286
  11.63265306  10.40816327   9.18367347   7.95918367   6.73469388
   5.51020408   4.28571429   3.06122449   1.83673469   0.6122449
  -0.6122449   -1.83673469  -3.06122449  -4.28571429  -5.51020408
  -6.73469388  -7.95918367  -9.18367347 -10.40816327 -11.63265306
 -12.85714286 -14.08163265 -15.30612245 -16.53061224 -17.75510204
 -18.97959184 -20.20408163 -21.42857143 -22.65306122 -23.87755102
 -25.10204082 -26.32653061 -27.55102041 -28.7755102  -30.        ]","[ 2.          2.20408163  2.40816327  2.6122449   2.81632653  3.02040816
  3.2244898   3.42857143  3.63265306  3.83673469  4.04081633  4.24489796
  4.44897959  4.65306122  4.85714286  5.06122449  5.26530612  5.46938776
  5.67346939  5.87755102  6.08163265  6.28571429  6.48979592  6.69387755
  6.89795918  7.10204082  7.30612245  7.51020408  7.71428571  7.91836735
  8.12244898  8.32653061  8.53061224  8.73469388  8.93877551  9.14285714
  9.34693878  9.55102041  9.75510204  9.95918367 10.16326531 10.36734694
 10.57142857 10.7755102  10.97959184 11.18367347 11.3877551  11.59183673
 11.79591837 12.        ]",108,17
0,graph14.png,"['medicostatistic', 'exocrine']",605,145,109,32
0,graph15.png,"['R', 'd', 'uplean']",104,130,68,62
0,graph16.png,"['heartsickness', 'reservor', 'haggis']",612,43,102,47
0,graph17.png,['unbibulousness'],603,152,111,17
0,graph18.png,['inconfirmed'],104,43,93,17
0,graph19.png,['creels'],104,145,64,32
0,graph20.png,"['tittlebat', 'palpitating']",104,232,87,47
0,graph21.png,['thymes'],643,152,71,17
0,graph22.png,"['C', 'c', 'competitorship']",355,217,108,62
0,graph23.png,"['uncardinal', 'dulotic']",628,137,86,47
0,graph24.png,['precentorship'],612,145,102,32
0,graph25.png,"['K', 'scatomata', 'unmovingness']",104,232,106,47
0,graph26.png,"['s', 'widowed', 'unfooling']",104,130,80,62
0,graph27.png,"['knaveries', 'tantafflin', 'glycosides', 'esclavage']",367,202,86,77
0,graph28.png,"['c', 'cereals', 'christolatry']",359,217,100,62
